timestamp,open,low,high,close,volume,Code
2003-12-15,350,300,350,310,1081952500,PGAS
2003-12-16,310,300,310,300,358462500,PGAS
2003-12-17,300,300,305,300,89955000,PGAS
2003-12-18,305,300,305,305,79497500,PGAS
2003-12-19,305,305,310,310,246537500,PGAS
2003-12-22,310,300,310,305,90657500,PGAS
2003-12-23,305,300,310,305,65215000,PGAS
2003-12-24,305,305,305,305,0,PGAS
2003-12-25,305,305,305,305,0,PGAS
2003-12-26,305,305,305,305,0,PGAS
2003-12-29,305,305,310,310,58637500,PGAS
2003-12-30,305,305,315,310,356640000,PGAS
2003-12-31,310,310,310,310,0,PGAS
2004-01-01,310,310,310,310,0,PGAS
2004-01-02,310,310,320,320,348500000,PGAS
2004-01-05,320,315,325,320,187942500,PGAS
2004-01-06,320,320,340,335,852422500,PGAS
2004-01-07,335,330,340,340,337615000,PGAS
2004-01-08,340,335,345,340,264387500,PGAS
2004-01-09,340,340,350,350,336517500,PGAS
2004-01-12,345,340,350,350,129985000,PGAS
2004-01-13,345,340,350,340,139867500,PGAS
2004-01-14,345,340,345,345,102455000,PGAS
2004-01-15,345,340,345,340,117325000,PGAS
2004-01-16,345,340,345,345,93375000,PGAS
2004-01-19,345,335,345,340,77522500,PGAS
2004-01-20,340,330,340,335,98360000,PGAS
2004-01-21,335,330,340,340,68055000,PGAS
2004-01-22,340,340,340,340,0,PGAS
2004-01-23,340,335,340,340,24845000,PGAS
2004-01-26,335,330,340,330,53607500,PGAS
2004-01-27,335,325,335,335,117787500,PGAS
2004-01-28,330,330,335,335,34687500,PGAS
2004-01-29,325,320,330,320,58040000,PGAS
2004-01-30,320,320,330,330,51010000,PGAS
2004-02-02,330,330,330,330,0,PGAS
2004-02-03,330,320,330,320,70307500,PGAS
2004-02-04,320,310,320,315,37302500,PGAS
2004-02-05,315,305,315,310,83092500,PGAS
2004-02-06,310,305,330,330,186852500,PGAS
2004-02-09,330,325,330,330,90515000,PGAS
2004-02-10,325,320,330,330,96632500,PGAS
2004-02-11,325,320,325,325,14130000,PGAS
2004-02-12,320,315,320,315,7222500,PGAS
2004-02-13,320,315,320,320,26232500,PGAS
2004-02-16,320,315,320,315,57930000,PGAS
2004-02-17,315,310,320,320,20945000,PGAS
2004-02-18,315,310,320,315,35455000,PGAS
2004-02-19,320,305,320,315,57922500,PGAS
2004-02-20,315,310,330,325,301820000,PGAS
2004-02-23,325,325,325,325,0,PGAS
2004-02-24,325,320,325,325,123282500,PGAS
2004-02-25,325,315,325,320,40445000,PGAS
2004-02-26,320,315,320,320,18807500,PGAS
2004-02-27,320,310,320,310,31965000,PGAS
2004-03-01,315,305,315,310,108682500,PGAS
2004-03-02,310,310,315,310,180197500,PGAS
2004-03-03,310,305,310,310,25620000,PGAS
2004-03-04,310,305,310,310,12172500,PGAS
2004-03-05,310,305,310,310,25830000,PGAS
2004-03-08,310,305,315,310,72307500,PGAS
2004-03-09,310,305,310,310,75045000,PGAS
2004-03-10,305,295,305,300,97792500,PGAS
2004-03-11,295,290,300,300,59725000,PGAS
2004-03-12,290,285,295,290,59307500,PGAS
2004-03-15,290,285,295,290,40505000,PGAS
2004-03-16,285,265,285,280,178415000,PGAS
2004-03-17,280,275,280,280,52540000,PGAS
2004-03-18,280,275,285,280,73257500,PGAS
2004-03-19,280,275,280,280,6200000,PGAS
2004-03-22,280,280,280,280,0,PGAS
2004-03-23,270,270,275,275,49397500,PGAS
2004-03-24,270,265,275,270,32315000,PGAS
2004-03-25,270,265,270,270,7942500,PGAS
2004-03-26,270,260,270,265,99995000,PGAS
2004-03-29,260,255,265,260,11277500,PGAS
2004-03-30,260,255,265,260,49352500,PGAS
2004-03-31,260,260,265,265,51670000,PGAS
2004-04-01,265,265,270,270,34847500,PGAS
2004-04-02,270,270,275,275,8960000,PGAS
2004-04-05,275,275,275,275,0,PGAS
2004-04-06,275,275,290,290,78642500,PGAS
2004-04-07,290,280,295,285,62575000,PGAS
2004-04-08,280,275,285,280,30007500,PGAS
2004-04-09,280,280,280,280,0,PGAS
2004-04-12,280,270,280,275,7977500,PGAS
2004-04-13,275,270,275,275,10347500,PGAS
2004-04-14,275,270,275,270,6725000,PGAS
2004-04-15,270,265,275,270,22690000,PGAS
2004-04-16,270,265,270,270,2242500,PGAS
2004-04-19,270,265,270,270,60710000,PGAS
2004-04-20,270,265,270,265,189997500,PGAS
2004-04-21,265,260,270,265,162965000,PGAS
2004-04-22,265,260,265,265,31997500,PGAS
2004-04-23,265,260,265,265,7937500,PGAS
2004-04-26,260,260,265,265,3075000,PGAS
2004-04-27,265,260,265,260,1532500,PGAS
2004-04-28,265,260,265,260,55255000,PGAS
2004-04-29,265,255,265,255,101930000,PGAS
2004-04-30,255,255,260,260,23735000,PGAS
2004-05-03,260,260,260,260,0,PGAS
2004-05-04,260,255,260,260,58032500,PGAS
2004-05-05,255,245,260,260,62420000,PGAS
2004-05-06,255,250,280,275,293615000,PGAS
2004-05-07,275,270,285,280,223677500,PGAS
2004-05-10,270,265,270,270,82200000,PGAS
2004-05-11,265,265,280,270,136337500,PGAS
2004-05-12,270,270,290,280,347977500,PGAS
2004-05-13,275,270,275,275,45795000,PGAS
2004-05-14,270,265,275,275,121220000,PGAS
2004-05-17,265,250,275,255,301700000,PGAS
2004-05-18,260,250,265,255,151040000,PGAS
2004-05-19,260,255,265,265,79767500,PGAS
2004-05-20,265,265,265,265,0,PGAS
2004-05-21,260,255,285,265,452975000,PGAS
2004-05-24,280,280,300,300,546550000,PGAS
2004-05-25,295,285,300,300,169930000,PGAS
2004-05-26,300,290,300,300,273757500,PGAS
2004-05-27,300,290,300,290,5132500,PGAS
2004-05-28,290,290,295,295,20627500,PGAS
2004-05-31,285,285,290,285,5162500,PGAS
2004-06-01,285,280,285,285,11592500,PGAS
2004-06-02,280,275,280,275,8125000,PGAS
2004-06-03,275,275,275,275,0,PGAS
2004-06-04,270,270,275,270,27515000,PGAS
2004-06-07,275,270,275,270,7742500,PGAS
2004-06-08,275,265,275,270,6820000,PGAS
2004-06-09,270,270,270,270,3782500,PGAS
2004-06-10,270,270,275,270,9240000,PGAS
2004-06-11,270,265,270,265,1867500,PGAS
2004-06-14,265,265,270,265,19112500,PGAS
2004-06-15,270,265,275,275,67482500,PGAS
2004-06-16,270,265,270,265,28305000,PGAS
2004-06-17,265,260,265,265,23157500,PGAS
2004-06-18,260,255,260,255,45297500,PGAS
2004-06-21,245,240,250,245,5985000,PGAS
2004-06-22,240,240,245,245,8877500,PGAS
2004-06-23,245,240,245,245,3212500,PGAS
2004-06-24,245,240,245,240,15407500,PGAS
2004-06-25,240,240,250,250,70337500,PGAS
2004-06-28,245,240,245,245,2895000,PGAS
2004-06-29,245,240,245,245,6207500,PGAS
2004-06-30,245,240,290,290,342715000,PGAS
2004-07-01,270,235,270,240,259575000,PGAS
2004-07-02,240,235,245,240,210385000,PGAS
2004-07-05,240,240,240,240,0,PGAS
2004-07-06,245,240,245,240,147225000,PGAS
2004-07-07,240,240,245,240,38187500,PGAS
2004-07-08,240,240,240,240,41420000,PGAS
2004-07-09,240,235,245,240,17875000,PGAS
2004-07-12,240,235,240,240,16682500,PGAS
2004-07-13,240,235,240,240,28555000,PGAS
2004-07-14,235,235,235,235,35107500,PGAS
2004-07-15,235,230,235,235,12610000,PGAS
2004-07-16,230,230,235,235,9385000,PGAS
2004-07-19,235,230,235,235,32790000,PGAS
2004-07-20,235,230,240,235,26600000,PGAS
2004-07-21,235,230,235,235,7930000,PGAS
2004-07-22,235,230,235,230,3860000,PGAS
2004-07-23,230,230,235,235,28797500,PGAS
2004-07-26,235,225,235,230,35217500,PGAS
2004-07-27,230,230,235,230,1195000,PGAS
2004-07-28,235,230,235,235,14315000,PGAS
2004-07-29,235,230,235,235,295000,PGAS
2004-07-30,235,235,240,240,18472500,PGAS
2004-08-02,235,230,235,235,7320000,PGAS
2004-08-03,230,230,235,235,21367500,PGAS
2004-08-04,230,230,235,235,18425000,PGAS
2004-08-05,230,230,235,235,28202500,PGAS
2004-08-06,230,230,235,235,58860000,PGAS
2004-08-09,235,230,235,235,20620000,PGAS
2004-08-10,230,230,245,245,195307500,PGAS
2004-08-11,245,240,245,245,47260000,PGAS
2004-08-12,245,240,245,240,42880000,PGAS
2004-08-13,240,240,245,245,55732500,PGAS
2004-08-16,240,235,245,240,15732500,PGAS
2004-08-17,240,240,240,240,0,PGAS
2004-08-18,240,240,245,245,126695000,PGAS
2004-08-19,240,230,245,240,238295000,PGAS
2004-08-20,235,230,240,240,5107500,PGAS
2004-08-23,235,235,235,235,2132500,PGAS
2004-08-24,235,230,235,230,1030000,PGAS
2004-08-25,230,230,235,235,3112500,PGAS
2004-08-26,235,230,235,235,4817500,PGAS
2004-08-27,235,230,235,235,4545000,PGAS
2004-08-30,235,230,235,235,67997500,PGAS
2004-08-31,230,225,230,230,74265000,PGAS
2004-09-01,225,225,230,230,35560000,PGAS
2004-09-02,230,225,230,225,9327500,PGAS
2004-09-03,230,225,235,235,48485000,PGAS
2004-09-06,230,225,230,230,7537500,PGAS
2004-09-07,230,225,230,230,11457500,PGAS
2004-09-08,230,230,230,230,59315000,PGAS
2004-09-09,230,220,230,225,123282500,PGAS
2004-09-10,225,220,230,225,64707500,PGAS
2004-09-13,225,225,225,225,0,PGAS
2004-09-14,225,225,235,230,68792500,PGAS
2004-09-15,230,225,235,230,46562500,PGAS
2004-09-16,230,225,230,230,14992500,PGAS
2004-09-17,230,225,230,230,3952500,PGAS
2004-09-20,230,230,230,230,0,PGAS
2004-09-21,230,225,235,230,19107500,PGAS
2004-09-22,230,225,230,225,9990000,PGAS
2004-09-23,225,225,230,225,31202500,PGAS
2004-09-24,225,225,230,230,6092500,PGAS
2004-09-27,230,230,235,235,51760000,PGAS
2004-09-28,230,230,235,235,88362500,PGAS
