timestamp,open,low,high,close,volume,Code
2001-04-16,182,182,182,182,0,BMTR
2001-04-17,182,182,182,182,0,BMTR
2001-04-18,182,182,182,182,0,BMTR
2001-04-19,182,182,182,182,0,BMTR
2001-04-20,182,182,182,182,0,BMTR
2001-04-23,182,182,182,182,0,BMTR
2001-04-24,182,182,182,182,0,BMTR
2001-04-25,182,182,182,182,0,BMTR
2001-04-26,182,182,182,182,0,BMTR
2001-04-27,182,182,182,182,0,BMTR
2001-04-30,182,182,182,182,0,BMTR
2001-05-01,182,182,182,182,0,BMTR
2001-05-02,182,182,182,182,0,BMTR
2001-05-03,182,182,182,182,0,BMTR
2001-05-04,182,182,182,182,0,BMTR
2001-05-07,182,182,182,182,0,BMTR
2001-05-08,182,182,182,182,0,BMTR
2001-05-09,182,182,182,182,0,BMTR
2001-05-10,182,182,182,182,0,BMTR
2001-05-11,182,182,182,182,0,BMTR
2001-05-14,182,182,182,182,0,BMTR
2001-05-15,182,182,182,182,0,BMTR
2001-05-16,182,182,182,182,0,BMTR
2001-05-17,182,182,182,182,0,BMTR
2001-05-18,182,182,182,182,0,BMTR
2001-05-21,182,182,182,182,0,BMTR
2001-05-22,182,182,182,182,0,BMTR
2001-05-23,182,182,182,182,0,BMTR
2001-05-24,182,182,182,182,0,BMTR
2001-05-25,182,182,182,182,0,BMTR
2001-05-28,182,182,182,182,0,BMTR
2001-05-29,182,182,182,182,0,BMTR
2001-05-30,182,182,182,182,0,BMTR
2001-05-31,182,182,182,182,0,BMTR
2001-06-01,182,182,182,182,0,BMTR
2001-06-04,182,182,182,182,0,BMTR
2001-06-05,182,182,182,182,0,BMTR
2001-06-06,182,182,182,182,0,BMTR
2001-06-07,182,182,182,182,0,BMTR
2001-06-08,182,182,182,182,0,BMTR
2001-06-11,182,182,182,182,0,BMTR
2001-06-12,182,182,182,182,0,BMTR
2001-06-13,182,182,182,182,0,BMTR
2001-06-14,182,182,182,182,0,BMTR
2001-06-15,182,182,182,182,0,BMTR
2001-06-18,182,182,182,182,0,BMTR
2001-06-19,182,182,182,182,0,BMTR
2001-06-20,182,182,182,182,0,BMTR
2001-06-21,182,182,182,182,0,BMTR
2001-06-22,182,182,182,182,0,BMTR
2001-06-25,182,182,182,182,0,BMTR
2001-06-26,182,182,182,182,0,BMTR
2001-06-27,182,182,182,182,0,BMTR
2001-06-28,182,182,182,182,0,BMTR
2001-06-29,182,182,182,182,0,BMTR
2001-07-02,182,182,182,182,0,BMTR
2001-07-03,182,182,182,182,0,BMTR
2001-07-04,182,182,182,182,0,BMTR
2001-07-05,182,182,182,182,0,BMTR
2001-07-06,182,182,182,182,0,BMTR
2001-07-09,182,182,182,182,0,BMTR
2001-07-10,182,182,182,182,0,BMTR
2001-07-11,182,182,182,182,0,BMTR
2001-07-12,182,182,182,182,0,BMTR
2001-07-13,182,182,182,182,0,BMTR
2001-07-16,182,182,182,182,0,BMTR
2001-07-17,182,182,182,182,0,BMTR
2001-07-18,182,182,182,182,0,BMTR
2001-07-19,182,182,182,182,0,BMTR
2001-07-20,182,182,182,182,0,BMTR
2001-07-23,182,182,182,182,0,BMTR
2001-07-24,182,182,182,182,0,BMTR
2001-07-25,182,182,182,182,0,BMTR
2001-07-26,182,182,182,182,0,BMTR
2001-07-27,182,182,182,182,0,BMTR
2001-07-30,182,182,182,182,0,BMTR
2001-07-31,182,182,182,182,0,BMTR
2001-08-01,182,182,182,182,0,BMTR
2001-08-02,182,182,182,182,0,BMTR
2001-08-03,182,182,182,182,0,BMTR
2001-08-06,182,182,182,182,0,BMTR
2001-08-07,182,182,182,182,0,BMTR
2001-08-08,182,182,182,182,0,BMTR
2001-08-09,182,182,182,182,0,BMTR
2001-08-10,182,182,182,182,0,BMTR
2001-08-13,182,182,182,182,0,BMTR
2001-08-14,182,182,182,182,0,BMTR
2001-08-15,182,182,182,182,0,BMTR
2001-08-16,182,182,182,182,0,BMTR
2001-08-17,182,182,182,182,0,BMTR
2001-08-20,182,182,182,182,0,BMTR
2001-08-21,182,182,182,182,0,BMTR
2001-08-22,182,182,182,182,0,BMTR
2001-08-23,182,182,182,182,0,BMTR
2001-08-24,182,182,182,182,0,BMTR
2001-08-27,182,182,182,182,0,BMTR
2001-08-28,182,182,182,182,0,BMTR
2001-08-29,182,182,182,182,0,BMTR
2001-08-30,182,182,182,182,0,BMTR
2001-08-31,182,182,182,182,0,BMTR
2001-09-03,182,182,182,182,0,BMTR
2001-09-04,182,182,182,182,0,BMTR
2001-09-05,182,182,182,182,0,BMTR
2001-09-06,182,182,182,182,0,BMTR
2001-09-07,182,182,182,182,0,BMTR
2001-09-10,182,182,182,182,0,BMTR
2001-09-11,182,182,182,182,0,BMTR
2001-09-12,182,182,182,182,0,BMTR
2001-09-13,182,182,182,182,0,BMTR
2001-09-14,182,182,182,182,0,BMTR
2001-09-17,182,182,182,182,0,BMTR
2001-09-18,182,182,182,182,0,BMTR
2001-09-19,182,182,182,182,0,BMTR
2001-09-20,182,182,182,182,0,BMTR
2001-09-21,182,182,182,182,0,BMTR
2001-09-24,182,182,182,182,0,BMTR
2001-09-25,182,182,182,182,0,BMTR
2001-09-26,182,182,182,182,0,BMTR
2001-09-27,182,182,182,182,0,BMTR
2001-09-28,182,182,182,182,0,BMTR
2001-10-01,182,182,182,182,0,BMTR
2001-10-02,182,182,182,182,0,BMTR
2001-10-03,182,182,182,182,0,BMTR
2001-10-04,182,182,182,182,0,BMTR
2001-10-05,182,182,182,182,0,BMTR
2001-10-08,182,182,182,182,0,BMTR
2001-10-09,182,182,182,182,0,BMTR
2001-10-10,182,182,182,182,0,BMTR
2001-10-11,182,182,182,182,0,BMTR
2001-10-12,182,182,182,182,0,BMTR
